,province,country,id,value,color,Change,value_old,color_old,Change1
83,Hainan,China,29,0.011235955,green,green,0.011235955,green,Cases under control
84,Hunan,China,29,0.0,green,green,0.0,green,Cases under control
85,Henan,China,29,0.0,green,green,0.0,green,Cases under control
86,Sichuan,China,29,0.007827789,green,green,0.0,green,Cases under control
87,Chongqing,China,29,0.0,green,green,0.0,green,Cases under control
88,Shanghai,China,29,0.03373494,green,green,0.043373494,green,Cases under control
89,,Colombia,37,0.96199175,red,yellow,0.962225161,red,Cases almost under control
90,,Congo (Brazzaville),26,0.877419355,red,green,0.787096774,orange,Cases under control
91,,Congo (Kinshasa),27,0.978839178,red,green,0.887290168,red,Cases under control
92,,Costa Rica,38,0.414285714,orange,yellow,0.383673469,yellow,Cases almost under control
93,,Cote d'Ivoire,86,0.828493648,red,yellow,0.951730419,red,Cases almost under control
94,,Croatia,79,0.046975089,green,yellow,0.118149466,yellow,Cases almost under control
95,Diamond Princess,Cruise Ship,cruise,0.0,green,,0.0,green,
96,,Cuba,40,0.206439394,yellow,green,0.259469697,yellow,Cases under control
97,,Cyprus,43,0.068965517,green,yellow,0.077961019,green,Cases almost under control
98,,Czechia,57,0.205983681,yellow,yellow,0.152674524,yellow,Cases almost under control
99,\u00c3\u0192\u00e2\u20ac\u00a6land Islands,Denmark,141,0.4,yellow,,0.4,yellow,
100,Faroe Islands,Denmark,den_44,0.0,green,green,0.0,green,Cases under control
101,Greenland,Denmark,den_45,0.0,green,green,0.0,green,Cases under control
102,,Denmark,den_46,0.198186315,yellow,yellow,0.256059357,yellow,Cases almost under control
103,,Diamond Princess,cruise,0.0,green,green,0.0,green,Cases under control
104,,Djibouti,45,1.0,red,green,0.351778656,yellow,Cases under control
105,,Dominica,46,0.0,green,green,0.0,green,Cases under control
106,,Dominican Republic,47,0.875167386,red,yellow,0.916083916,red,Cases almost under control
107,,Ecuador,48,0.307443736,yellow,yellow,0.207269296,yellow,Cases almost under control
108,,Egypt,49,1.0,red,green,0.954887218,red,Cases under control
109,,El Salvador,54,1.0,red,green,0.971764706,red,Cases under control
110,,Equatorial Guinea,51,0.973604061,red,green,0.566727605,orange,Cases under control
111,,Eritrea,53,0.0,green,green,0.0,green,Cases under control
112,,Estonia,52,0.095354523,green,yellow,0.08394458,green,Cases almost under control
113,,Eswatini,220,0.448863636,orange,green,0.534090909,orange,Cases under control
114,,Ethiopia,55,1.0,red,green,0.870629371,red,Cases under control
115,,Fiji,60,0.0,green,green,0.0,green,Cases under control
116,,Finland,59,0.348885077,yellow,yellow,0.440137221,orange,Cases almost under control
117,Svalbard,Finland,239,0.4,yellow,,0.4,yellow,
118,Saint Pierre and Miquelon,France,232,0.0,green,green,0.0,green,Cases under control
119,French Guiana,France,fr_64,1.0,red,green,0.974576271,red,Cases under control
120,French Polynesia,France,fr_65,0.0,green,green,0.0,green,Cases under control
121,Guadeloupe,France,fr_66,0.013513514,green,green,0.02027027,green,Cases under control
122,Mayotte,France,fr_67,0.757775683,orange,green,0.919886899,red,Cases under control
123,New Caledonia,France,fr_68,0.0,green,green,0.0,green,Cases under control
124,Reunion,France,fr_69,0.047413793,green,yellow,0.07112069,green,Cases almost under control
125,Saint Barthelemy,France,fr_70,0.0,green,green,0.0,green,Cases under control
126,St Martin,France,fr_71,0.047619048,green,green,0.047619048,green,Cases under control
127,Martinique,France,fr_72,0.096256684,green,yellow,0.080213904,green,Cases almost under control
128,,France,fr_73,0.04406919,green,yellow,0.048789176,green,Cases almost under control
129,,Gabon,66,0.909559244,red,green,0.871765382,red,Cases under control
130,,Gambia,65,0.25,yellow,green,0.4,orange,Cases under control
131,,Georgia,geo_67,0.444759207,orange,green,0.430594901,orange,Cases under control
132,,Germany,71,0.007927007,green,red,0.069932103,green,Cases increasing
133,,Ghana,68,0.393254801,yellow,yellow,0.704695821,orange,Cases almost under control
134,,Greece,73,0.141695703,yellow,yellow,0.173635308,yellow,Cases almost under control
135,,Grenada,69,0.090909091,green,green,0.090909091,green,Cases under control
136,,Guatemala,74,1.0,red,yellow,0.946202532,red,Cases almost under control
137,,Guinea,75,0.849012776,red,green,0.801393728,red,Cases under control
138,,Guinea-Bissau,167,0.500875657,orange,green,0.719789842,orange,Cases under control
139,,Guyana,76,0.451612903,orange,green,0.758064516,orange,Cases under control
140,,Haiti,77,1.0,red,green,1.0,red,Cases under control
141,,Holy See,238,0.0,green,green,0.0,green,Cases under control
142,,Honduras,78,1.0,red,yellow,0.735282339,orange,Cases almost under control
143,,Hungary,80,0.372413793,yellow,yellow,0.366047745,yellow,Cases almost under control
144,,Iceland,81,0.002073255,green,yellow,0.00138217,green,Cases almost under control
145,,India,82,0.992660269,red,yellow,0.978469769,red,Cases almost under control
146,,Indonesia,224,0.954872739,red,yellow,0.980160858,red,Cases almost under control
147,,Iran,83,0.691829145,orange,yellow,0.565981997,orange,Cases almost under control
148,,Iraq,87,0.939810427,red,green,1.0,red,Cases under control
149,,Ireland,50,0.136455273,yellow,yellow,0.189966016,yellow,Cases almost under control
150,,Israel,84,0.025300601,green,yellow,0.034819639,green,Cases almost under control
151,,Italy,85,0.00782979,green,red,0.098445504,green,Cases increasing
152,,Jamaica,89,0.162895928,yellow,green,0.140271493,yellow,Cases under control
153,,Japan,88,0.082915605,green,yellow,0.1247432,yellow,Cases almost under control
154,,Jordan,90,0.397372742,yellow,green,0.367816092,yellow,Cases under control
155,,Kazakhstan,97,1.0,red,yellow,0.796377607,red,Cases almost under control
156,,Kenya,91,1.0,red,green,0.959578207,red,Cases under control
157,,Kosovo,kos_1,0.1,green,green,0.1,green,Cases under control
158,,Kuwait,96,0.957710908,red,yellow,1.0,red,Cases almost under control
159,,Kyrgyzstan,92,0.995176849,red,green,0.807823129,red,Cases under control
160,,Laos,98,0.0,green,green,0.0,green,Cases under control
161,,Latvia,100,0.271794872,yellow,yellow,0.305982906,yellow,Cases almost under control
162,,Lebanon,99,0.749116608,orange,green,0.427561837,orange,Cases under control
163,,Liberia,103,0.587301587,orange,green,0.507936508,orange,Cases under control
164,,Libya,106,0.235294118,yellow,green,0.029411765,green,Cases under control
165,,Liechtenstein,105,0.0,green,yellow,0.0,green,Cases almost under control
166,,Lithuania,102,0.210109019,yellow,yellow,0.211100099,yellow,Cases almost under control
167,,Luxembourg,135,0.050570459,green,yellow,0.049337034,green,Cases almost under control
168,,Madagascar,107,1.0,red,green,0.940677966,red,Cases under control
169,,Malawi,22,0.814814815,red,green,1.0,red,Cases under control
170,,Malaysia,120,0.221731449,yellow,yellow,0.231448763,yellow,Cases almost under control
171,,Maldives,118,0.684890656,orange,green,0.791252485,red,Cases under control
172,,Mali,112,0.884086444,red,green,0.78978389,orange,Cases under control
173,,Malta,116,0.510989011,orange,yellow,0.35989011,yellow,Cases almost under control
174,,Mauritania,115,1.0,red,yellow,1.0,red,Cases almost under control
175,,Mauritius,114,0.0,green,yellow,0.0,green,Cases almost under control
176,,Mexico,119,0.73620021,orange,yellow,0.953647125,red,Cases almost under control
177,,Moldova,171,0.92122281,red,green,0.956745623,red,Cases under control
178,,Monaco,137,0.025316456,green,green,0.025316456,green,Cases under control
179,,Mongolia,109,1.0,red,yellow,1.0,red,Cases almost under control
