jhu_province,jhu_country,province,country,id,value,color,Change,value_old,color_old
,Costa Rica,,Costa Rica,38,0.414285714,orange,red,0.383673469,yellow
,Cote d'Ivoire,,Cote d'Ivoire,86,0.828493648,red,yellow,0.951730419,red
,Croatia,,Croatia,79,0.046975089,green,red,0.118149466,yellow
Diamond Princess,Cruise Ship,Diamond Princess,Cruise Ship,cruise,0,green,,0,green
,Cuba,,Cuba,40,0.206439394,yellow,red,0.259469697,yellow
,Cyprus,,Cyprus,43,0.068965517,green,,0.077961019,green
,Czechia,,Czechia,57,0.205983681,yellow,red,0.152674524,yellow
\u00c3\u0192\u00e2\u20ac\u00a6land Islands,Denmark,\u00c3\u0192\u00e2\u20ac\u00a6land Islands,Denmark,141,0.4,yellow,red,0.4,yellow
Faroe Islands,Denmark,Faroe Islands,Denmark,den_44,0,green,yellow,0,green
Greenland,Denmark,Greenland,Denmark,den_45,0,green,,0,green
,Denmark,,Denmark,den_46,0.198186315,yellow,,0.256059357,yellow
,Diamond Princess,,Diamond Princess,cruise,0,green,,0,green
,Djibouti,,Djibouti,45,1,red,green,0.351778656,yellow
,Dominica,,Dominica,46,0,green,,0,green
,Dominican Republic,,Dominican Republic,47,0.875167386,red,,0.916083916,red
,Ecuador,,Ecuador,48,0.307443736,yellow,red,0.207269296,yellow
,Egypt,,Egypt,49,1,red,yellow,0.954887218,red
,El Salvador,,El Salvador,54,1,red,,0.971764706,red
,Equatorial Guinea,,Equatorial Guinea,51,0.973604061,red,red,0.566727605,orange
,Eritrea,,Eritrea,53,0,green,,0,green
,Estonia,,Estonia,52,0.095354523,green,red,0.08394458,green
,Eswatini,,Eswatini,220,0.448863636,orange,green,0.534090909,orange
,Ethiopia,,Ethiopia,55,1,red,,0.870629371,red
,Fiji,,Fiji,60,0,green,,0,green
,Finland,,Finland,59,0.348885077,yellow,red,0.440137221,orange
Svalbard,Finland,Svalbard,Finland,239,0.4,yellow,,0.4,yellow
Saint Pierre and Miquelon,France,Saint Pierre and Miquelon,France,232,0,green,,0,green
French Guiana,France,French Guiana,France,fr_64,1,red,,0.974576271,red
French Polynesia,France,French Polynesia,France,fr_65,0,green,,0,green
Guadeloupe,France,Guadeloupe,France,fr_66,0.013513514,green,,0.02027027,green
Mayotte,France,Mayotte,France,fr_67,0.757775683,orange,,0.919886899,red
New Caledonia,France,New Caledonia,France,fr_68,0,green,,0,green
Reunion,France,Reunion,France,fr_69,0.047413793,green,,0.07112069,green
Saint Barthelemy,France,Saint Barthelemy,France,fr_70,0,green,,0,green
St Martin,France,St Martin,France,fr_71,0.047619048,green,,0.047619048,green
Martinique,France,Martinique,France,fr_72,0.096256684,green,,0.080213904,green
,France,,France,fr_73,0.04406919,green,red,0.048789176,green
,Gabon,,Gabon,66,0.909559244,red,,0.871765382,red
,Gambia,,Gambia,65,0.25,yellow,green,0.4,orange
,Georgia,,Georgia,geo_67,0.444759207,orange,red,0.430594901,orange
,Germany,,Germany,71,0.007927007,green,red,0.069932103,green
,Ghana,,Ghana,68,0.393254801,yellow,red,0.704695821,orange
,Greece,,Greece,73,0.141695703,yellow,red,0.173635308,yellow
,Grenada,,Grenada,69,0.090909091,green,,0.090909091,green
,Guatemala,,Guatemala,74,1,red,,0.946202532,red
,Guinea,,Guinea,75,0.849012776,red,,0.801393728,red
,Guinea-Bissau,,Guinea-Bissau,167,0.500875657,orange,yellow,0.719789842,orange
,Guyana,,Guyana,76,0.451612903,orange,green,0.758064516,orange
,Haiti,,Haiti,77,1,red,green,1,red
,Holy See,,Holy See,238,0,green,,0,green
,Honduras,,Honduras,78,1,red,,0.735282339,orange
,Hungary,,Hungary,80,0.372413793,yellow,red,0.366047745,yellow
,Iceland,,Iceland,81,0.002073255,green,red,0.00138217,green
,India,,India,82,0.992660269,red,,0.978469769,red
,Indonesia,,Indonesia,224,0.954872739,red,,0.980160858,red
,Iran,,Iran,83,0.691829145,orange,red,0.565981997,orange
,Iraq,,Iraq,87,0.939810427,red,,1,red
,Ireland,,Ireland,50,0.136455273,yellow,red,0.189966016,yellow
,Israel,,Israel,84,0.025300601,green,red,0.034819639,green
,Italy,,Italy,85,0.00782979,green,red,0.098445504,green
,Jamaica,,Jamaica,89,0.162895928,yellow,red,0.140271493,yellow
