province,country,id,value,color,Change,value_old,color_old
,Egypt,49,1.0,red,yellow,0.954887218,red
,El Salvador,54,1.0,red,red,0.971764706,red
,Equatorial Guinea,51,0.973604061,red,green,0.566727605,orange
,Eritrea,53,0.0,green,green,0.0,green
,Estonia,52,0.09535452300000001,green,red,0.08394458,green
,Eswatini,220,0.448863636,orange,green,0.534090909,orange
,Ethiopia,55,1.0,red,red,0.8706293709999999,red
,Fiji,60,0.0,green,green,0.0,green
,Finland,59,0.34888507700000004,yellow,red,0.440137221,orange
Svalbard,Finland,239,0.4,yellow,,0.4,yellow
Saint Pierre and Miquelon,France,232,0.0,green,green,0.0,green
French Guiana,France,fr_64,1.0,red,green,0.974576271,red
French Polynesia,France,fr_65,0.0,green,red,0.0,green
Guadeloupe,France,fr_66,0.013513513999999999,green,red,0.02027027,green
Mayotte,France,fr_67,0.757775683,orange,red,0.9198868990000001,red
New Caledonia,France,fr_68,0.0,green,green,0.0,green
Reunion,France,fr_69,0.047413792999999996,green,red,0.07112069,green
Saint Barthelemy,France,fr_70,0.0,green,green,0.0,green
St Martin,France,fr_71,0.047619048,green,green,0.047619048,green
Martinique,France,fr_72,0.09625668400000001,green,red,0.080213904,green
,France,fr_73,0.04406919,green,red,0.048789176,green
,Gabon,66,0.9095592440000001,red,green,0.871765382,red
,Gambia,65,0.25,yellow,green,0.4,orange
,Georgia,geo_67,0.44475920700000005,orange,red,0.43059490100000003,orange
,Germany,71,0.007927007,green,red,0.069932103,green
,Ghana,68,0.393254801,yellow,yellow,0.704695821,orange
,Greece,73,0.141695703,yellow,red,0.17363530800000002,yellow
,Grenada,69,0.090909091,green,green,0.090909091,green
,Guatemala,74,1.0,red,red,0.946202532,red
,Guinea,75,0.8490127759999999,red,red,0.801393728,red
,Guinea-Bissau,167,0.500875657,orange,green,0.7197898420000001,orange
,Guyana,76,0.45161290299999995,orange,red,0.7580645159999999,orange
,Haiti,77,1.0,red,green,1.0,red
,Holy See,238,0.0,green,green,0.0,green
,Honduras,78,1.0,red,red,0.7352823390000001,orange
,Hungary,80,0.372413793,yellow,red,0.366047745,yellow
,Iceland,81,0.002073255,green,red,0.00138217,green
,India,82,0.992660269,red,red,0.978469769,red
,Indonesia,224,0.954872739,red,red,0.980160858,red
,Iran,83,0.691829145,orange,red,0.5659819970000001,orange
,Iraq,87,0.9398104270000001,red,red,1.0,red
,Ireland,50,0.13645527300000002,yellow,red,0.18996601600000002,yellow
,Israel,84,0.025300601000000002,green,red,0.034819639,green
,Italy,85,0.00782979,green,red,0.098445504,green
,Jamaica,89,0.162895928,yellow,red,0.140271493,yellow
,Japan,88,0.082915605,green,red,0.1247432,yellow
,Jordan,90,0.39737274200000006,yellow,red,0.36781609200000004,yellow
,Kazakhstan,97,1.0,red,yellow,0.796377607,red
,Kenya,91,1.0,red,red,0.9595782070000001,red
,Kosovo,kos_1,0.1,green,yellow,0.1,green
,Kuwait,96,0.9577109079999999,red,red,1.0,red
